Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Pivot,R1,S1,R2,S2
07-Jul-2020,10802.85,10813.8,10689.7,10799.65,636764929,36502.37,10756.72,10818.34,10702.04,10873.02,10640.42
08-Jul-2020,10818.65,10847.85,10676.55,10705.75,767941333,37676.34,10767.72,10845.74,10721.64,10891.82,10643.62
09-Jul-2020,10755.55,10836.85,10733.0,10813.45,618652409,31315.87,10743.38,10810.21,10638.91,10914.68,10572.08
10-Jul-2020,10764.1,10819.4,10713.0,10768.05,590705425,31557.58,10794.43,10855.86,10752.01,10898.28,10690.58
13-Jul-2020,10851.85,10894.05,10756.05,10802.7,554050579,30606.3,10766.82,10820.64,10714.24,10873.22,10660.42
14-Jul-2020,10750.85,10755.65,10562.9,10607.35,532368699,30902.47,10817.6,10879.15,10741.15,10955.6,10679.6
15-Jul-2020,10701.0,10827.45,10577.75,10618.2,715901258,42376.03,10641.97,10721.04,10528.29,10834.72,10449.22
16-Jul-2020,10706.2,10755.3,10595.2,10739.95,694402635,41453.95,10674.47,10771.19,10521.49,10924.17,10424.77
17-Jul-2020,10752.0,10933.45,10749.65,10901.7,676881092,35592.83,10696.82,10798.44,10638.34,10856.92,10536.72
20-Jul-2020,10999.45,11037.9,10953.0,11022.2,554306867,32738.64,10861.6,10973.55,10789.75,11045.4,10677.8
21-Jul-2020,11126.1,11179.55,11113.25,11162.25,771998838,42461.89,11004.37,11055.74,10970.84,11089.27,10919.47
22-Jul-2020,11231.2,11238.1,11056.55,11132.6,765074288,41068.72,11151.68,11190.11,11123.81,11217.98,11085.38
23-Jul-2020,11135.0,11239.8,11103.15,11215.45,621575333,32744.93,11142.42,11228.29,11046.74,11323.97,10960.87
24-Jul-2020,11149.95,11225.4,11090.3,11194.15,678935175,40217.17,11186.13,11269.11,11132.46,11322.78,11049.48
27-Jul-2020,11225.0,11225.0,11087.85,11131.8,588148687,34539.73,11169.95,11249.6,11114.5,11305.05,11034.85
28-Jul-2020,11154.1,11317.75,11151.4,11300.55,683891350,38677.47,11148.22,11208.59,11071.44,11285.37,11011.07
29-Jul-2020,11276.9,11341.4,11149.75,11202.85,600726301,38726.02,11256.57,11361.74,11195.39,11422.92,11090.22
30-Jul-2020,11254.3,11299.95,11084.95,11102.15,677761342,39150.44,11231.33,11312.91,11121.26,11422.98,11039.68
31-Jul-2020,11139.5,11150.4,11026.65,11073.45,642560311,36220.09,11162.35,11239.75,11024.75,11377.35,10947.35
03-Aug-2020,11057.55,11058.05,10882.25,10891.6,680929323,31149.94,11083.5,11140.35,11016.6,11207.25,10959.75
04-Aug-2020,10946.65,11112.25,10908.1,11095.25,625738313,35357.96,10943.97,11005.69,10829.89,11119.77,10768.17
05-Aug-2020,11155.75,11225.65,11064.05,11101.65,667639446,34894.58,11038.53,11168.96,10964.81,11242.68,10834.38
06-Aug-2020,11185.7,11256.8,11127.3,11200.15,600374615,31501.08,11130.45,11196.85,11035.25,11292.05,10968.85
07-Aug-2020,11186.65,11231.9,11142.05,11214.05,452629891,27054.43,11194.75,11262.2,11132.7,11324.25,11065.25
10-Aug-2020,11270.25,11337.3,11238.0,11270.15,491999534,29108.25,11196.0,11249.95,11160.1,11285.85,11106.15
11-Aug-2020,11322.25,11373.6,11299.15,11322.5,586084846,30314.89,11281.82,11325.64,11226.34,11381.12,11182.52
12-Aug-2020,11289.0,11322.0,11242.65,11308.4,609858960,28088.09,11331.75,11364.35,11289.9,11406.2,11257.3
13-Aug-2020,11334.85,11359.3,11269.95,11300.45,562355175,26500.52,11291.02,11339.39,11260.04,11370.37,11211.67
14-Aug-2020,11353.3,11366.25,11111.45,11178.4,645109756,31059.23,11309.9,11349.85,11260.5,11399.25,11220.55
17-Aug-2020,11248.9,11267.1,11144.5,11247.1,633963958,27468.67,11218.7,11325.95,11071.15,11473.5,10963.9
18-Aug-2020,11259.8,11401.7,11253.15,11385.35,579242492,27267.51,11219.57,11294.64,11172.04,11342.17,11096.97
19-Aug-2020,11452.15,11460.35,11394.1,11408.4,626217997,27528.12,11346.73,11440.31,11291.76,11495.28,11198.18
20-Aug-2020,11317.45,11361.45,11289.8,11312.2,791587770,27676.18,11420.95,11447.8,11381.55,11487.2,11354.7
21-Aug-2020,11409.65,11418.5,11362.2,11371.6,668719170,26294.26,11321.15,11352.5,11280.85,11392.8,11249.5
24-Aug-2020,11412.0,11497.25,11410.65,11466.45,532900535,28920.84,11384.1,11406.0,11349.7,11440.4,11327.8
25-Aug-2020,11513.1,11525.9,11423.35,11472.25,638152608,28742.82,11458.12,11505.59,11418.99,11544.72,11371.52
26-Aug-2020,11512.85,11561.75,11461.85,11549.6,743442521,34852.01,11473.83,11524.31,11421.76,11576.38,11371.28
27-Aug-2020,11609.3,11617.35,11540.6,11559.25,719776490,31580.61,11524.4,11586.95,11487.05,11624.3,11424.5
28-Aug-2020,11602.95,11686.05,11589.4,11647.6,806997707,39349.92,11572.4,11604.2,11527.45,11649.15,11495.65
31-Aug-2020,11777.55,11794.25,11325.85,11387.5,1371789450,61668.55,11641.02,11692.64,11595.99,11737.67,11544.37
01-Sep-2020,11464.3,11553.55,11366.9,11470.25,783769555,36752.54,11502.53,11679.21,11210.81,11970.93,11034.13
02-Sep-2020,11478.55,11554.75,11430.4,11535.0,593494423,27454.65,11463.57,11560.24,11373.59,11650.22,11276.92
03-Sep-2020,11566.2,11584.95,11507.65,11527.45,607115212,26868.26,11506.72,11583.04,11458.69,11631.07,11382.37
04-Sep-2020,11354.4,11452.05,11303.65,11333.85,681338905,31746.86,11540.02,11572.39,11495.09,11617.32,11462.72
07-Sep-2020,11359.6,11381.15,11251.7,11355.05,560322964,25959.82,11363.18,11422.71,11274.31,11511.58,11214.78
08-Sep-2020,11378.55,11437.25,11290.45,11317.35,572239350,27979.7,11329.3,11406.9,11277.45,11458.75,11199.85
09-Sep-2020,11218.6,11298.15,11185.15,11278.0,728880693,32660.67,11348.35,11406.25,11259.45,11495.15,11201.55
